Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,0.7006194,0.5660081,-0.3946774,1.7964979,"[-0.3946774, 1.7964979]",1
age_days,-2.02e-4,0.0023249,-0.0047846,0.004193,"[-0.0047846, 0.004193]",1
Intercept,0.7756599,0.5229454,-0.2582469,1.7682485,"[-0.2582469, 1.7682485]",19
age_days,-6.994e-4,0.0021534,-0.0048412,0.0035026,"[-0.0048412, 0.0035026]",19
Intercept,0.2583397,0.5317055,-0.7442898,1.3236297,"[-0.7442898, 1.3236297]",22
age_days,0.001379,0.0022153,-0.0028889,0.0056978,"[-0.0028889, 0.0056978]",22
Intercept,0.6704236,0.5348058,-0.3453884,1.7517526,"[-0.3453884, 1.7517526]",10
age_days,-4.331e-4,0.0021732,-0.0047809,0.0037524,"[-0.0047809, 0.0037524]",10
Intercept,0.9886814,0.5328004,-0.0461443,2.0406703,"[-0.0461443, 2.0406703]",4
age_days,-0.0017782,0.0021828,-0.0060214,0.0025364,"[-0.0060214, 0.0025364]",4
Intercept,0.0806029,0.5177543,-0.894544,1.1281383,"[-0.894544, 1.1281383]",16
age_days,0.0020863,0.0021292,-0.0019057,0.0064102,"[-0.0019057, 0.0064102]",16
Intercept,0.2049346,0.5773981,-0.9207373,1.3453214,"[-0.9207373, 1.3453214]",13
age_days,0.0014845,0.0023367,-0.003244,0.005931,"[-0.003244, 0.005931]",13
Intercept,0.3879631,0.5669691,-0.7659576,1.4573067,"[-0.7659576, 1.4573067]",7
age_days,7.051e-4,0.0023252,-0.0038577,0.0052537,"[-0.0038577, 0.0052537]",7
Intercept,0.432842,0.5375155,-0.620559,1.4822722,"[-0.620559, 1.4822722]",2
age_days,4.992e-4,0.0021885,-0.0037833,0.0047761,"[-0.0037833, 0.0047761]",2
Intercept,0.5065582,0.5333232,-0.5338981,1.5529456,"[-0.5338981, 1.5529456]",20
age_days,6.181e-4,0.0021965,-0.0037496,0.0048849,"[-0.0037496, 0.0048849]",20
Intercept,-0.0418772,0.5153116,-1.0699337,0.9409219,"[-1.0699337, 0.9409219]",11
age_days,0.0025533,0.0021054,-0.0014758,0.0067119,"[-0.0014758, 0.0067119]",11
Intercept,1.0459556,0.5250839,-0.0088781,2.0701618,"[-0.0088781, 2.0701618]",23
age_days,-0.0018447,0.0021319,-0.0061606,0.0022557,"[-0.0061606, 0.0022557]",23
Intercept,0.2568026,0.5521916,-0.8268717,1.3227673,"[-0.8268717, 1.3227673]",5
age_days,0.0013121,0.0022537,-0.0030682,0.0057121,"[-0.0030682, 0.0057121]",5
