Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,0.5746344,0.0715182,0.433509,0.7128447,"[0.433509, 0.7128447]",61
z_age_days,-0.1515238,0.1026523,-0.3600698,0.0459264,"[-0.3600698, 0.0459264]",61
Intercept,0.5863274,0.0764806,0.4362007,0.7343988,"[0.4362007, 0.7343988]",121
z_age_days,-0.080625,0.1053759,-0.2825418,0.1297434,"[-0.2825418, 0.1297434]",121
Intercept,0.5535102,0.0731483,0.4124052,0.7004753,"[0.4124052, 0.7004753]",91
z_age_days,0.2572765,0.1136924,0.0427863,0.4884474,"[0.0427863, 0.4884474]",91
Intercept,0.5568273,0.0732207,0.4136048,0.6986259,"[0.4136048, 0.6986259]",211
z_age_days,0.0585648,0.1276893,-0.1876554,0.3198714,"[-0.1876554, 0.3198714]",211
Intercept,0.5690311,0.072502,0.4273534,0.7115313,"[0.4273534, 0.7115313]",31
z_age_days,0.1153117,0.1142367,-0.1061165,0.3447917,"[-0.1061165, 0.3447917]",31
Intercept,0.5661594,0.0750899,0.4226432,0.716481,"[0.4226432, 0.716481]",181
z_age_days,-0.1277173,0.1157176,-0.3602946,0.0964897,"[-0.3602946, 0.0964897]",181
Intercept,0.6594109,0.0728052,0.5141231,0.7972922,"[0.5141231, 0.7972922]",1
z_age_days,0.0073881,0.1208658,-0.2348288,0.2446594,"[-0.2348288, 0.2446594]",1
Intercept,0.5890908,0.0705132,0.4489746,0.7263041,"[0.4489746, 0.7263041]",151
z_age_days,-0.0029704,0.1379892,-0.2713206,0.2756446,"[-0.2713206, 0.2756446]",151
Intercept,0.5804563,0.0739436,0.4340618,0.7237708,"[0.4340618, 0.7237708]",62
z_age_days,0.0697844,0.1078705,-0.1461646,0.2776533,"[-0.1461646, 0.2776533]",62
Intercept,0.5520513,0.0724807,0.4102939,0.6943952,"[0.4102939, 0.6943952]",92
z_age_days,0.1992907,0.1123508,-0.0262342,0.4187757,"[-0.0262342, 0.4187757]",92
Intercept,0.5211785,0.071965200000000007,0.3854907,0.6648461,"[0.3854907, 0.6648461]",122
z_age_days,0.043819,0.1043405,-0.1591631,0.2509222,"[-0.1591631, 0.2509222]",122
Intercept,0.5434324,0.0756164,0.3969676,0.6936219,"[0.3969676, 0.6936219]",32
z_age_days,-0.0398311,0.1027148,-0.2365583,0.1651157,"[-0.2365583, 0.1651157]",32
Intercept,0.5928294,0.0746941,0.4441923,0.735322,"[0.4441923, 0.735322]",212
z_age_days,0.0798238,0.1065185,-0.1268534,0.2900531,"[-0.1268534, 0.2900531]",212
Intercept,0.5567153,0.0720163,0.420744,0.7003145,"[0.420744, 0.7003145]",2
