Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,-0.3001369,0.5515612,-1.3517396,0.8069184,"[-1.3517396, 0.8069184]",7
z_age_days,0.0028008,0.0022688,-0.0015641,0.0072865,"[-0.0015641, 0.0072865]",7
Intercept,0.8273593,0.5802105,-0.2584558,2.01755,"[-0.2584558, 2.01755]",1
z_age_days,-0.00165,0.0024049,-0.0063726,0.0030379,"[-0.0063726, 0.0030379]",1
Intercept,0.6214944,0.5329721,-0.4039756,1.690594,"[-0.4039756, 1.690594]",22
z_age_days,-9.879e-4,0.0022255,-0.0052953,0.0034935,"[-0.0052953, 0.0034935]",22
Intercept,0.7335784,0.5595017,-0.3450636,1.8452662,"[-0.3450636, 1.8452662]",13
z_age_days,-0.0012766,0.002267,-0.0056231,0.0032357,"[-0.0056231, 0.0032357]",13
Intercept,0.9380087,0.5718045,-0.1890286,2.0445174,"[-0.1890286, 2.0445174]",19
z_age_days,-0.0022276,0.002366,-0.0067253,0.0025725,"[-0.0067253, 0.0025725]",19
Intercept,0.4440736,0.5949972,-0.6741025,1.6753544,"[-0.6741025, 1.6753544]",4
z_age_days,1.32e-5,0.0024359,-0.0048605,0.0047573,"[-0.0048605, 0.0047573]",4
Intercept,0.3311601,0.565146,-0.7471627,1.4698402,"[-0.7471627, 1.4698402]",10
z_age_days,3.048e-4,0.0022865,-0.0042606,0.0046799,"[-0.0042606, 0.0046799]",10
Intercept,-0.1501477,0.5426418,-1.2115132,0.9038318,"[-1.2115132, 0.9038318]",16
z_age_days,0.0021474,0.0022241,-0.0022093,0.0064851,"[-0.0022093, 0.0064851]",16
Intercept,-0.155127,0.5716584,-1.2664108,0.9636478,"[-1.2664108, 0.9636478]",8
z_age_days,0.0022319,0.002363,-0.0023975,0.0068923,"[-0.0023975, 0.0068923]",8
Intercept,0.1072939,0.5230053,-0.8979271,1.1557287,"[-0.8979271, 1.1557287]",23
z_age_days,0.0011844,0.002143,-0.0028992,0.0055279,"[-0.0028992, 0.0055279]",23
Intercept,1.019736,0.5207866,0.0257009,2.0599951,"[0.0257009, 2.0599951]",20
z_age_days,-0.0026709,0.0021637,-0.0069479,0.001508,"[-0.0069479, 0.001508]",20
Intercept,-0.2573168,0.5605464,-1.3808097,0.8309984,"[-1.3808097, 0.8309984]",11
z_age_days,0.0028238,0.0023085,-0.0016438,0.0074635,"[-0.0016438, 0.0074635]",11
Intercept,0.137843,0.5678537,-1.0021064,1.2069738,"[-1.0021064, 1.2069738]",14
z_age_days,0.0010532,0.0023404,-0.0033485,0.0057654,"[-0.0033485, 0.0057654]",14
Intercept,-0.1161527,0.6104378,-1.3262488,1.083329,"[-1.3262488, 1.083329]",2
